            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459980.500000000, A.D. 2023-Feb-05 00:00:00.0000, -2.446830734079802E+05,  3.224881546238343E+05,  3.529867888444637E+04,
2459981.500000000, A.D. 2023-Feb-06 00:00:00.0000, -3.054373313174652E+05,  2.646355203376327E+05,  3.452374852217390E+04,
2459982.500000000, A.D. 2023-Feb-07 00:00:00.0000, -3.526230457010143E+05,  1.950546395822758E+05,  3.218525716464296E+04,
2459983.500000000, A.D. 2023-Feb-08 00:00:00.0000, -3.839404669714458E+05,  1.168003243578119E+05,  2.837485089911237E+04,
2459984.500000000, A.D. 2023-Feb-09 00:00:00.0000, -3.976902783539669E+05,  3.335769077094190E+04,  2.324838432924149E+04,
2459985.500000000, A.D. 2023-Feb-10 00:00:00.0000, -3.928595025981631E+05, -5.145570454864021E+04,  1.702350198344855E+04,
2459986.500000000, A.D. 2023-Feb-11 00:00:00.0000, -3.691990512442112E+05, -1.336019844648695E+05,  9.975660719570973E+03,
2459987.500000000, A.D. 2023-Feb-12 00:00:00.0000, -3.272944610178042E+05, -2.089511619678481E+05,  2.432542662371736E+03,
2459988.500000000, A.D. 2023-Feb-13 00:00:00.0000, -2.686303274283601E+05, -2.734321362903594E+05, -5.233589402682657E+03,
2459989.500000000, A.D. 2023-Feb-14 00:00:00.0000, -1.956432968778728E+05, -3.232182149148140E+05, -1.261669768040413E+04,
2459990.500000000, A.D. 2023-Feb-15 00:00:00.0000, -1.117472034399524E+05, -3.549607050284927E+05, -1.929276023689235E+04,
2459991.500000000, A.D. 2023-Feb-16 00:00:00.0000, -2.129823954161625E+04, -3.660775863735862E+05, -2.484272682325172E+04,
2459992.500000000, A.D. 2023-Feb-17 00:00:00.0000,  7.054626506724705E+04, -3.550838612019026E+05, -2.888410340933567E+04,
2459993.500000000, A.D. 2023-Feb-18 00:00:00.0000,  1.581224096911390E+05, -3.219143778714436E+05, -3.111007877521055E+04,
2459994.500000000, A.D. 2023-Feb-19 00:00:00.0000,  2.357254279353435E+05, -2.681493968548826E+05, -3.133064952653591E+04,
2459995.500000000, A.D. 2023-Feb-20 00:00:00.0000,  2.981997865439001E+05, -1.970355507528966E+05, -2.950552602781037E+04,
2459996.500000000, A.D. 2023-Feb-21 00:00:00.0000,  3.415305433620245E+05, -1.132318928757844E+05, -2.575723866653031E+04,
2459997.500000000, A.D. 2023-Feb-22 00:00:00.0000,  3.632765722933444E+05, -2.230461766019111E+04, -2.035771306988878E+04,
2459998.500000000, A.D. 2023-Feb-23 00:00:00.0000,  3.627302708748349E+05,  6.990425631180662E+04, -1.369123443548926E+04,
2459999.500000000, A.D. 2023-Feb-24 00:00:00.0000,  3.407938074660372E+05,  1.578675432156508E+05, -6.205277707387679E+03,
2460000.500000000, A.D. 2023-Feb-25 00:00:00.0000,  2.996603954771215E+05,  2.367986489006084E+05,  1.637169192128815E+03,
2460001.500000000, A.D. 2023-Feb-26 00:00:00.0000,  2.424256885993854E+05,  3.028745895888353E+05,  9.394440240972515E+03,
2460002.500000000, A.D. 2023-Feb-27 00:00:00.0000,  1.727292451942318E+05,  3.532908131193949E+05,  1.666937044631843E+04,
2460003.500000000, A.D. 2023-Feb-28 00:00:00.0000,  9.447528519824680E+04,  3.862128375023982E+05,  2.312087859252284E+04,
2460004.500000000, A.D. 2023-Mar-01 00:00:00.0000,  1.163847800983788E+04,  4.006851819161386E+05,  2.846798608411686E+04,
2460005.500000000, A.D. 2023-Mar-02 00:00:00.0000, -7.186357354706676E+04,  3.965380633575476E+05,  3.249013910060778E+04,
2460006.500000000, A.D. 2023-Mar-03 00:00:00.0000, -1.522569663304162E+05,  3.743115567754903E+05,  3.502660193071193E+04,
2460007.500000000, A.D. 2023-Mar-04 00:00:00.0000, -2.259810420897641E+05,  3.352013626704626E+05,  3.597646191909054E+04,
2460008.500000000, A.D. 2023-Mar-05 00:00:00.0000, -2.897586268463540E+05,  2.810205221932501E+05,  3.529976027967954E+04,
2460009.500000000, A.D. 2023-Mar-06 00:00:00.0000, -3.406775773423995E+05,  2.141660996993324E+05,  3.301949848118254E+04,
2460010.500000000, A.D. 2023-Mar-07 00:00:00.0000, -3.762870671118177E+05,  1.375778811981427E+05,  2.922374772532861E+04,
2460011.500000000, A.D. 2023-Mar-08 00:00:00.0000, -3.947054639107620E+05,  5.467693197836901E+04,  2.406680130243122E+04,
2460012.500000000, A.D. 2023-Mar-09 00:00:00.0000, -3.947314018041863E+05, -3.072496962211347E+04,  1.776826778142867E+04,
2460013.500000000, A.D. 2023-Mar-10 00:00:00.0000, -3.759466073908499E+05, -1.145491881766089E+05,  1.060919907122377E+04,
2460014.500000000, A.D. 2023-Mar-11 00:00:00.0000, -3.387987271411539E+05, -1.926064269441967E+05,  2.924709566909805E+03,
2460015.500000000, A.D. 2023-Mar-12 00:00:00.0000, -2.846543956759535E+05, -2.607805447324920E+05, -4.907073251452719E+03,
2460016.500000000, A.D. 2023-Mar-13 00:00:00.0000, -2.158154866689491E+05, -3.152339745511363E+05, -1.247964654759956E+04,
2460017.500000000, A.D. 2023-Mar-14 00:00:00.0000, -1.354926451711598E+05, -3.526295846167149E+05, -1.937627662408327E+04,
2460018.500000000, A.D. 2023-Mar-15 00:00:00.0000, -4.772807545439904E+04, -3.703646887584939E+05, -2.519173554929698E+04,
2460019.500000000, A.D. 2023-Mar-16 00:00:00.0000,  4.274562980656880E+04, -3.668102371830298E+05, -2.955777451451022E+04,
2460020.500000000, A.D. 2023-Mar-17 00:00:00.0000,  1.307286982311046E+05, -3.415385549729111E+05, -3.217199776937813E+04,
2460021.500000000, A.D. 2023-Mar-18 00:00:00.0000,  2.108752280572687E+05, -2.955057031579630E+05, -3.282838087690460E+04,
2460022.500000000, A.D. 2023-Mar-19 00:00:00.0000,  2.781103815022929E+05, -2.311353021463831E+05, -3.144532787628029E+04,
2460023.500000000, A.D. 2023-Mar-20 00:00:00.0000,  3.281061899968187E+05, -1.522433147160012E+05, -2.808476350175487E+04,
2460024.500000000, A.D. 2023-Mar-21 00:00:00.0000,  3.577348408671089E+05, -6.376464419114483E+04, -2.295511706818890E+04,
2460025.500000000, A.D. 2023-Mar-22 00:00:00.0000,  3.653932332561016E+05,  2.870259471203116E+04, -1.639390083891770E+04,
2460026.500000000, A.D. 2023-Mar-23 00:00:00.0000,  3.511126298668563E+05,  1.194517793722952E+05, -8.831699241813571E+03,
2460027.500000000, A.D. 2023-Mar-24 00:00:00.0000,  3.164327877190670E+05,  2.031982370293719E+05, -7.457698356571636E+02,
2460028.500000000, A.D. 2023-Mar-25 00:00:00.0000,  2.640964813654753E+05,  2.754772311831728E+05,  7.385717214550779E+03,
2460029.500000000, A.D. 2023-Mar-26 00:00:00.0000,  1.976645664209236E+05,  3.328601023007362E+05,  1.511991257423058E+04,
2460030.500000000, A.D. 2023-Mar-27 00:00:00.0000,  1.211469499415854E+05,  3.730038284358340E+05,  2.207220917725118E+04,
2460031.500000000, A.D. 2023-Mar-28 00:00:00.0000,  3.870751032446539E+04,  3.945880237580905E+05,  2.792690528699564E+04,
2460032.500000000, A.D. 2023-Mar-29 00:00:00.0000, -4.554103006211249E+04,  3.971997741901606E+05,  3.243931288450432E+04,
2460033.500000000, A.D. 2023-Mar-30 00:00:00.0000, -1.276652719130021E+05,  3.812125464034413E+05,  3.543344854410784E+04,
2460034.500000000, A.D. 2023-Mar-31 00:00:00.0000, -2.039881015605352E+05,  3.476852837432226E+05,  3.679859144093272E+04,
2460035.500000000, A.D. 2023-Apr-01 00:00:00.0000, -2.711415015221076E+05,  2.982903874552276E+05,  3.648675113102766E+04,
2460036.500000000, A.D. 2023-Apr-02 00:00:00.0000, -3.261178079830670E+05,  2.352670209339425E+05,  3.451193478953491E+04,
2460037.500000000, A.D. 2023-Apr-03 00:00:00.0000, -3.663353655601686E+05,  1.613883173466717E+05,  3.095116684969638E+04,
2460038.500000000, A.D. 2023-Apr-04 00:00:00.0000, -3.897269748110836E+05,  7.992632650961456E+04,  2.594646384619450E+04,
