            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2459998.500000000, A.D. 2023-Feb-23 00:00:00.0000,  1.621642331131612E+08,  3.617678481258538E+08, -1.315211426184401E+08,
2459999.500000000, A.D. 2023-Feb-24 00:00:00.0000,  1.608770976881164E+08,  3.622386178276327E+08, -1.317771354539808E+08,
2460000.500000000, A.D. 2023-Feb-25 00:00:00.0000,  1.595877687755709E+08,  3.627044817017375E+08, -1.320313431826587E+08,
2460001.500000000, A.D. 2023-Feb-26 00:00:00.0000,  1.582962636244300E+08,  3.631654329698392E+08, -1.322837621964365E+08,
2460002.500000000, A.D. 2023-Feb-27 00:00:00.0000,  1.570025995006563E+08,  3.636214648831810E+08, -1.325343888978384E+08,
2460003.500000000, A.D. 2023-Feb-28 00:00:00.0000,  1.557067936874217E+08,  3.640725707225415E+08, -1.327832196999269E+08,
2460004.500000000, A.D. 2023-Mar-01 00:00:00.0000,  1.544088634852602E+08,  3.645187437981996E+08, -1.330302510262810E+08,
2460005.500000000, A.D. 2023-Mar-02 00:00:00.0000,  1.531088262122206E+08,  3.649599774499018E+08, -1.332754793109747E+08,
2460006.500000000, A.D. 2023-Mar-03 00:00:00.0000,  1.518066992040211E+08,  3.653962650468304E+08, -1.335189009985565E+08,
2460007.500000000, A.D. 2023-Mar-04 00:00:00.0000,  1.505024998142039E+08,  3.658275999875730E+08, -1.337605125440290E+08,
2460008.500000000, A.D. 2023-Mar-05 00:00:00.0000,  1.491962454142911E+08,  3.662539757000955E+08, -1.340003104128294E+08,
2460009.500000000, A.D. 2023-Mar-06 00:00:00.0000,  1.478879533939404E+08,  3.666753856417143E+08, -1.342382910808106E+08,
2460010.500000000, A.D. 2023-Mar-07 00:00:00.0000,  1.465776411611030E+08,  3.670918232990718E+08, -1.344744510342223E+08,
2460011.500000000, A.D. 2023-Mar-08 00:00:00.0000,  1.452653261421807E+08,  3.675032821881133E+08, -1.347087867696940E+08,
2460012.500000000, A.D. 2023-Mar-09 00:00:00.0000,  1.439510257821848E+08,  3.679097558540645E+08, -1.349412947942168E+08,
2460013.500000000, A.D. 2023-Mar-10 00:00:00.0000,  1.426347575448954E+08,  3.683112378714126E+08, -1.351719716251275E+08,
2460014.500000000, A.D. 2023-Mar-11 00:00:00.0000,  1.413165389130211E+08,  3.687077218438869E+08, -1.354008137900923E+08,
2460015.500000000, A.D. 2023-Mar-12 00:00:00.0000,  1.399963873883597E+08,  3.690992014044428E+08, -1.356278178270911E+08,
2460016.500000000, A.D. 2023-Mar-13 00:00:00.0000,  1.386743204919598E+08,  3.694856702152472E+08, -1.358529802844029E+08,
2460017.500000000, A.D. 2023-Mar-14 00:00:00.0000,  1.373503557642824E+08,  3.698671219676639E+08, -1.360762977205915E+08,
2460018.500000000, A.D. 2023-Mar-15 00:00:00.0000,  1.360245107653641E+08,  3.702435503822433E+08, -1.362977667044917E+08,
2460019.500000000, A.D. 2023-Mar-16 00:00:00.0000,  1.346968030749798E+08,  3.706149492087121E+08, -1.365173838151963E+08,
2460020.500000000, A.D. 2023-Mar-17 00:00:00.0000,  1.333672502928074E+08,  3.709813122259649E+08, -1.367351456420436E+08,
2460021.500000000, A.D. 2023-Mar-18 00:00:00.0000,  1.320358700385924E+08,  3.713426332420583E+08, -1.369510487846056E+08,
