Column1,Column2,Column3,Column4,Column5,Column6
"2431275.500000000, A.D. 1944-Jul-04 00",00,"00.0000, -3.065146762632966E+09,  4.156511095503382E+09, -1.496055626748096E+09, -2.818260239083077E+01, -5.449574992260083E+00, -5.704348421058603E-02,",,,
"2431306.500000000, A.D. 1944-Aug-04 00",00,"00.0000, -3.132823268002262E+09,  4.123027698585217E+09, -1.496203765530553E+09, -2.115939879767447E+01, -1.895154387460772E+01, -5.530510393148358E-02,",,,
"2431337.500000000, A.D. 1944-Sep-04 00",00,"00.0000, -3.173249930029598E+09,  4.059616691358927E+09, -1.496345469719221E+09, -8.266237683751667E+00, -2.727194073752836E+01, -5.193259613735357E-02,",,,
"2431367.500000000, A.D. 1944-Oct-04 00",00,"00.0000, -3.175311573865045E+09,  3.986113220579183E+09, -1.496474110681522E+09,  6.783357079466968E+00, -2.813502821532018E+01, -4.754064054887586E-02,",,,
"2431398.500000000, A.D. 1944-Nov-04 00",00,"00.0000, -3.137393695841460E+09,  3.918550345785824E+09, -1.496595635930141E+09,  2.091044859735317E+01, -2.101167950191699E+01, -4.203102602737374E-02,",,,
"2431428.500000000, A.D. 1944-Dec-04 00",00,"00.0000, -3.070803366974157E+09,  3.880053359061973E+09, -1.496700141078774E+09,  2.930826553377617E+01, -7.927737995069847E+00, -3.663856429126477E-02,",,,
"2431459.500000000, A.D. 1945-Jan-04 00",00,"00.0000, -2.989616803195066E+09,  3.880425084843976E+09, -1.496793262322634E+09,  2.980992850497483E+01,  8.247217736432532E+00, -3.141598497144882E-02,",,,
"2431490.500000000, A.D. 1945-Feb-04 00",00,"00.0000, -2.918814508785781E+09,  3.922350262015112E+09, -1.496871673889419E+09,  2.177395236293577E+01,  2.228520061344991E+01, -2.690775412351520E-02,",,,
"2431518.500000000, A.D. 1945-Mar-04 00",00,"00.0000, -2.880622204472154E+09,  3.986409478456360E+09, -1.496931120022528E+09,  9.234154733516984E+00,  2.960583438953744E+01, -2.297558980114367E-02,",,,
"2431549.500000000, A.D. 1945-Apr-04 00",00,"00.0000, -2.877118431615922E+09,  4.067906894557872E+09, -1.496986920015192E+09, -6.574100160394964E+00,  2.981591359383736E+01, -2.008536980226872E-02,",,,
"2431579.500000000, A.D. 1945-May-04 00",00,"00.0000, -2.912074812621306E+09,  4.137059106620432E+09, -1.497033298788519E+09, -1.971107471665700E+01,  2.244255744318785E+01, -1.765285005846273E-02,",,,
"2431610.500000000, A.D. 1945-Jun-04 00",00,"00.0000, -2.977064457207774E+09,  4.180449896558568E+09, -1.497075350686716E+09, -2.764589317368479E+01,  9.309430984720638E+00, -1.501587692252171E-02,",,,
"2431640.500000000, A.D. 1945-Jul-04 00",00,"00.0000, -3.050949818927357E+09,  4.185489296562439E+09, -1.497111086410586E+09, -2.813583524820785E+01, -5.429855314431515E+00, -1.251485656404316E-02,",,,
"2431671.500000000, A.D. 1945-Aug-04 00",00,"00.0000, -3.118539063496216E+09,  4.151989297200151E+09, -1.497142732308692E+09, -2.117486010741528E+01, -1.898145694183809E+01, -9.740942825904320E-03,",,,
"2431702.500000000, A.D. 1945-Sep-04 00",00,"00.0000, -3.159006099067523E+09,  4.088440250354008E+09, -1.497167871064097E+09, -8.305098720573612E+00, -2.737198253279496E+01, -7.142015672547686E-03,",,,
"2431732.500000000, A.D. 1945-Oct-04 00",00,"00.0000, -3.161157410304248E+09,  4.014644162549209E+09, -1.497184171886653E+09,  6.753449431167482E+00, -2.830118159432047E+01, -4.123410698758434E-03,",,,
"2431763.500000000, A.D. 1945-Nov-04 00",00,"00.0000, -3.123295653423107E+09,  3.946603782068923E+09, -1.497190164649928E+09,  2.092429016414897E+01, -2.122941824490139E+01, -3.388510835984349E-04,",,,
"2431793.500000000, A.D. 1945-Dec-04 00",00,"00.0000, -3.056643779742745E+09,  3.907514424810811E+09, -1.497183242736540E+09,  2.938197927563253E+01, -8.171791400316234E+00,  4.405668387348793E-03,",,,
"2431824.500000000, A.D. 1946-Jan-04 00",00,"00.0000, -2.975214762547637E+09,  3.907219594655944E+09, -1.497161625163497E+09,  2.994902716845420E+01,  8.015003503238363E+00,  9.956483114576642E-03,",,,
"2431855.500000000, A.D. 1946-Feb-04 00",00,"00.0000, -2.903986588197858E+09,  3.948527202248780E+09, -1.497125192709873E+09,  2.196042658770836E+01,  2.209541661217959E+01,  1.588657180230513E-02,",,,
"2431883.500000000, A.D. 1946-Mar-04 00",00,"00.0000, -2.865294258312149E+09,  4.012141604063608E+09, -1.497080769481300E+09,  9.449603832057960E+00,  2.947315547605454E+01,  2.015954496182992E-02,",,,
"2431914.500000000, A.D. 1946-Apr-04 00",00,"00.0000, -2.861196726107065E+09,  4.093326921715406E+09, -1.497021293390879E+09, -6.374790389287802E+00,  2.974372741641614E+01,  2.465466346965606E-02,",,,
"2431944.500000000, A.D. 1946-May-04 00",00,"00.0000, -2.895627061241044E+09,  4.162342859763367E+09, -1.496955895095040E+09, -1.954868925648472E+01,  2.241323948979759E+01,  2.751020556535799E-02,",,,
"2431975.500000000, A.D. 1946-Jun-04 00",00,"00.0000, -2.960198857189978E+09,  4.205711292722785E+09, -1.496882336942975E+09, -2.752961464324030E+01,  9.296367365381746E+00,  2.911619153773426E-02,",,,
"2432005.500000000, A.D. 1946-Jul-04 00",00,"00.0000, -3.033834220471169E+09,  4.210773218452571E+09, -1.496806675180884E+09, -2.806792836612322E+01, -5.443784792375671E+00,  3.020090461043146E-02,",,,
"2432036.500000000, A.D. 1946-Aug-04 00",00,"00.0000, -3.101325672985284E+09,  4.177259692890199E+09, -1.496723709442695E+09, -2.114935398809223E+01, -1.901356560528697E+01,  3.141471924874750E-02,",,,
"2432067.500000000, A.D. 1946-Sep-04 00",00,"00.0000, -3.141823584837628E+09,  4.113588922155866E+09, -1.496634560001800E+09, -8.315091285720472E+00, -2.744083064034737E+01,  3.381374591100084E-02,",,,
"2432097.500000000, A.D. 1946-Oct-04 00",00,"00.0000, -3.144066324901093E+09,  4.039519837206835E+09, -1.496540063977261E+09,  6.730296096195633E+00, -2.842531660004389E+01,  3.754947139907650E-02,",,,
"2432128.500000000, A.D. 1946-Nov-04 00",00,"00.0000, -3.106271441638972E+09,  3.971022400340680E+09, -1.496431338253659E+09,  2.091506817227658E+01, -2.141196125942841E+01,  4.294409947716371E-02,",,,
"2432158.500000000, A.D. 1946-Dec-04 00",00,"00.0000, -3.039571081774990E+09,  3.931351458150294E+09, -1.496313038937440E+09,  2.941943051022264E+01, -8.397572940636675E+00,  4.881885809455921E-02,",,,
"2432189.500000000, A.D. 1947-Jan-04 00",00,"00.0000, -2.957913704755363E+09,  3.930395952352195E+09, -1.496176067035540E+09,  3.005084656769147E+01,  7.771330005262045E+00,  5.497522343856875E-02,",,,
"2432220.500000000, A.D. 1947-Feb-04 00",00,"00.0000, -2.886269117718305E+09,  3.971086270261961E+09, -1.496024508131361E+09,  2.213129169857672E+01,  2.187082289249711E+01,  5.987770709352702E-02,",,,
"2432248.500000000, A.D. 1947-Mar-04 00",00,"00.0000, -2.847081008931668E+09,  4.034263626483344E+09, -1.495876691446422E+09,  9.654176769349515E+00,  2.930318689815457E+01,  6.368920714445636E-02,",,,
"2432279.500000000, A.D. 1947-Apr-04 00",00,"00.0000, -2.842394734528360E+09,  4.115132368160655E+09, -1.495702940928435E+09, -6.152116151291989E+00,  2.963978816977240E+01,  6.616800262627365E-02,",,,
"2432309.500000000, A.D. 1947-May-04 00",00,"00.0000, -2.876299475362822E+09,  4.184009561731432E+09, -1.495527325472403E+09, -1.934765471259960E+01,  2.237354802582245E+01,  6.808378160398476E-02,",,,
"2432340.500000000, A.D. 1947-Jun-04 00",00,"00.0000, -2.940446909052575E+09,  4.227358283796934E+09, -1.495340138537448E+09, -2.738127610008035E+01,  9.308067330517700E+00,  6.989279337900811E-02,",,,
"2432370.500000000, A.D. 1947-Jul-04 00",00,"00.0000, -3.013829304651497E+09,  4.232451597306103E+09, -1.495154145827130E+09, -2.798795259515089E+01, -5.418109227096799E+00,  7.197689720645029E-02,",,,
"2432401.500000000, A.D. 1947-Aug-04 00",00,"00.0000, -3.081224919829891E+09,  4.198941712936374E+09, -1.494956774466697E+09, -2.114316461618393E+01, -1.900940223065938E+01,  7.489655276895224E-02,",,,
"2432432.500000000, A.D. 1947-Sep-04 00",00,"00.0000, -3.121765044409272E+09,  4.135165121026325E+09, -1.494752666565453E+09, -8.363045316997217E+00, -2.749678390821119E+01,  7.848129068430332E-02,",,,
"2432462.500000000, A.D. 1947-Oct-04 00",00,"00.0000, -3.124112770574463E+09,  4.060832181094158E+09, -1.494546856896671E+09,  6.668621995669941E+00, -2.855879002193543E+01,  8.229538227807254E-02,",,,
"2432493.500000000, A.D. 1947-Nov-04 00",00,"00.0000, -3.086400977050040E+09,  3.991877362732890E+09, -1.494323176181068E+09,  2.088702122159738E+01, -2.162895876161085E+01,  8.645689996357930E-02,",,,
"2432523.500000000, A.D. 1947-Dec-04 00",00,"00.0000, -3.019661010685522E+09,  3.951620027976910E+09, -1.494094232142947E+09,  2.946224635727635E+01, -8.662675961921206E+00,  9.086169890570428E-02,",,,
"2432554.500000000, A.D. 1948-Jan-04 00",00,"00.0000, -2.937775916134068E+09,  3.949995561515795E+09, -1.493843510927345E+09,  3.018742271431778E+01,  7.508050420552431E+00,  9.553983619190376E-02,",,,
"2432585.500000000, A.D. 1948-Feb-04 00",00,"00.0000, -2.865708973058021E+09,  3.990068439153081E+09, -1.493578473105459E+09,  2.233960629964637E+01,  2.166303882751143E+01,  1.006095885863916E-01,",,,
"2432614.500000000, A.D. 1948-Mar-04 00",00,"00.0000, -2.825193736211105E+09,  4.055335244694572E+09, -1.493318640554492E+09,  9.394582112033287E+00,  2.930583773772088E+01,  1.049427657012743E-01,",,,
"2432645.500000000, A.D. 1948-Apr-04 00",00,"00.0000, -2.821279644255359E+09,  4.135923865101764E+09, -1.493030702362622E+09, -6.421319750514079E+00,  2.945261061083346E+01,  1.091557675778514E-01,",,,
"2432675.500000000, A.D. 1948-May-04 00",00,"00.0000, -2.855798488929069E+09,  4.204043532437056E+09, -1.492744245322920E+09, -1.953187917192849E+01,  2.202450600922757E+01,  1.122350861688552E-01,",,,
"2432706.500000000, A.D. 1948-Jun-04 00",00,"00.0000, -2.920223490902422E+09,  4.246256309169625E+09, -1.492442169656824E+09, -2.741512754706483E+01,  8.854853026353297E+00,  1.147230977615741E-01,",,,
"2432736.500000000, A.D. 1948-Jul-04 00",00,"00.0000, -2.993416156084568E+09,  4.250116450559691E+09, -1.492145119254159E+09, -2.784489471658950E+01, -5.888477998871835E+00,  1.164231769637434E-01,",,,
"2432767.500000000, A.D. 1948-Aug-04 00",00,"00.0000, -3.060140156663827E+09,  4.215435162324466E+09, -1.491833044583520E+09, -2.082629816552804E+01, -1.941344594886323E+01,  1.177911434020773E-01,",,,
"2432798.500000000, A.D. 1948-Sep-04 00",00,"00.0000, -3.099626515653689E+09,  4.150812672742373E+09, -1.491514736584412E+09, -7.919051377267856E+00, -2.775066028180209E+01,  1.195539070856100E-01,",,,
"2432828.500000000, A.D. 1948-Oct-04 00",00,"00.0000, -3.100781898542830E+09,  4.076123127960826E+09, -1.491198599656794E+09,  7.145098755644962E+00, -2.861652289473957E+01,  1.227356957846268E-01,",,,
"2432859.500000000, A.D. 1948-Nov-04 00",00,"00.0000, -3.061921123896343E+09,  4.007318048139687E+09, -1.490861058042941E+09,  2.128650219627929E+01, -2.148159611096986E+01,  1.276260332673234E-01,",,,
"2432889.500000000, A.D. 1948-Dec-04 00",00,"00.0000, -2.994407151447412E+09,  3.967611074753613E+09, -1.490521495932095E+09,  2.968787759690738E+01, -8.386239568470135E+00,  1.333476699041269E-01,",,,
"2432920.500000000, A.D. 1949-Jan-04 00",00,"00.0000, -2.912249568411864E+09,  3.966734825027468E+09, -1.490156053340844E+09,  3.018171133063209E+01,  7.802403421577115E+00,  1.397285879666987E-01,",,,
"2432951.500000000, A.D. 1949-Feb-04 00",00,"00.0000, -2.840467108887822E+09,  4.007422282937326E+09, -1.489775958435128E+09,  2.213156833230970E+01,  2.184386931703368E+01,  1.453636266095995E-01,",,,
"2432979.500000000, A.D. 1949-Mar-04 00",00,"00.0000, -2.801383388763028E+09,  4.070370700835139E+09, -1.489421736232521E+09,  9.590030346268891E+00,  2.916821268810432E+01,  1.493768476147483E-01,",,,
"2433010.500000000, A.D. 1949-Apr-04 00",00,"00.0000, -2.796897967771159E+09,  4.150656859097569E+09, -1.489019326786900E+09, -6.229805515388077E+00,  2.936885472137815E+01,  1.524803788249081E-01,",,,
"2433040.500000000, A.D. 1949-May-04 00",00,"00.0000, -2.830909857557373E+09,  4.218648087560993E+09, -1.488622449072270E+09, -1.936838730415351E+01,  2.198640807681267E+01,  1.543348469414214E-01,",,,
"2433071.500000000, A.D. 1949-Jun-04 00",00,"00.0000, -2.894935072324822E+09,  4.260847186241256E+09, -1.488206647610118E+09, -2.729261001223662E+01,  8.843798351452296E+00,  1.554104046083542E-01,",,,
"2433101.500000000, A.D. 1949-Jul-04 00",00,"00.0000, -2.967898739559543E+09,  4.264740884868081E+09, -1.487799572902481E+09, -2.777320204773966E+01, -5.892233173833546E+00,  1.569186835763481E-01,",,,
"2433132.500000000, A.D. 1949-Aug-04 00",00,"00.0000, -3.034549579412313E+09,  4.230058457034125E+09, -1.487373848740955E+09, -2.080598909277725E+01, -1.942803353065371E+01,  1.594879532856295E-01,",,,
"2433163.500000000, A.D. 1949-Sep-04 00",00,"00.0000, -3.074095025379863E+09,  4.165325492343479E+09, -1.486941356733008E+09, -7.946824291642814E+00, -2.780307348149833E+01,  1.632159534169162E-01,",,,
"2433193.500000000, A.D. 1949-Oct-04 00",00,"00.0000, -3.075370269654452E+09,  4.090371143813412E+09, -1.486514378793852E+09,  7.097217682356416E+00, -2.873120803155980E+01,  1.673557499686904E-01,",,,
"2433224.500000000, A.D. 1949-Nov-04 00",00,"00.0000, -3.036608287675366E+09,  4.021115440817828E+09, -1.486062022788042E+09,  2.125169697772066E+01, -2.166887692924479E+01,  1.722198029368469E-01,",,,
"2433254.500000000, A.D. 1949-Dec-04 00",00,"00.0000, -2.969076478881896E+09,  3.980829159925405E+09, -1.485611654652284E+09,  2.970605993373498E+01, -8.625370292103444E+00,  1.770795650997483E-01,",,,
"2433285.500000000, A.D. 1950-Jan-04 00",00,"00.0000, -2.886720511849239E+09,  3.979288460455389E+09, -1.485132017911061E+09,  3.027857591441935E+01,  7.543345867619625E+00,  1.817773560828444E-01,",,,
"2433316.500000000, A.D. 1950-Feb-04 00",00,"00.0000, -2.814544720776370E+09,  4.019353870004068E+09, -1.484638289615595E+09,  2.230798961356879E+01,  2.161368611775234E+01,  1.860057386035709E-01,",,,
"2433344.500000000, A.D. 1950-Mar-04 00",00,"00.0000, -2.774984570394300E+09,  4.081865719015803E+09, -1.484181259842144E+09,  9.801601732597977E+00,  2.899647556869131E+01,  1.898110795869865E-01,",,,
"2433375.500000000, A.D. 1950-Apr-04 00",00,"00.0000, -2.769927346635532E+09,  4.161841933318690E+09, -1.483665521950373E+09, -6.003595619111200E+00,  2.927641613620955E+01,  1.932207357455731E-01,",,,
"2433405.500000000, A.D. 1950-May-04 00",00,"00.0000, -2.803435741246792E+09,  4.229705072671849E+09, -1.483158463000369E+09, -1.917225583670094E+01,  2.196336095460866E+01,  1.963087600122977E-01,",,,
"2433436.500000000, A.D. 1950-Jun-04 00",00,"00.0000, -2.867066436155173E+09,  4.271894996556730E+09, -1.482628188396534E+09, -2.716256676281058E+01,  8.870358226485575E+00,  1.994073764008353E-01,",,,
"2433466.500000000, A.D. 1950-Jul-04 00",00,"00.0000, -2.939810797982621E+09,  4.275822726633974E+09, -1.482109854652903E+09, -2.771910239562642E+01, -5.860351446865200E+00,  2.017710815899532E-01,",,,
"2433497.500000000, A.D. 1950-Aug-04 00",00,"00.0000, -3.006402142936433E+09,  4.241137918822772E+09, -1.481568821128917E+09, -2.082612384318777E+01, -1.943319945740722E+01,  2.039977651596327E-01,",,,
"2433528.500000000, A.D. 1950-Sep-04 00",00,"00.0000, -3.046020831289315E+09,  4.176285543168238E+09, -1.481021308302030E+09, -8.009461692225122E+00, -2.787834296885161E+01,  2.062165495767712E-01,",,,
"2433558.500000000, A.D. 1950-Oct-04 00",00,"00.0000, -3.047424263576170E+09,  4.101055639432766E+09, -1.480483468409659E+09,  7.031920640717452E+00, -2.888230450023489E+01,  2.091335469884434E-01,",,,
"2433589.500000000, A.D. 1950-Nov-04 00",00,"00.0000, -3.008766828135613E+09,  4.031335495002600E+09, -1.479917083342501E+09,  2.122819401978620E+01, -2.189216741032326E+01,  2.129384521423932E-01,",,,
"2433619.500000000, A.D. 1950-Dec-04 00",00,"00.0000, -2.941220581900782E+09,  3.990461284911301E+09, -1.479356506848849E+09,  2.975190940164529E+01, -8.887564788287516E+00,  2.178334349321571E-01,",,,
"2433650.500000000, A.D. 1951-Jan-04 00",00,"00.0000, -2.858665859856457E+09,  3.988249903918415E+09, -1.478763096338184E+09,  3.041046510338666E+01,  7.290342073920604E+00,  2.238170837450544E-01,",,,
"2433681.500000000, A.D. 1951-Feb-04 00",00,"00.0000, -2.786097985765363E+09,  4.027693763124074E+09, -1.478155087229790E+09,  2.250148533743397E+01,  2.141656151718604E+01,  2.300107464546084E-01,",,,
"2433709.500000000, A.D. 1951-Mar-04 00",00,"00.0000, -2.746069278088291E+09,  4.089761774356910E+09, -1.477594744917517E+09,  1.002492172837297E+01,  2.885988264366128E+01,  2.342035756170660E-01,",,,
"2433740.500000000, A.D. 1951-Apr-04 00",00,"00.0000, -2.740448643849091E+09,  4.169428608751662E+09, -1.476963918782861E+09, -5.801047822298186E+00,  2.921681584053103E+01,  2.382329997254953E-01,",,,
"2433770.500000000, A.D. 1951-May-04 00",00,"00.0000, -2.773465190526885E+09,  4.237158707970119E+09, -1.476345579244573E+09, -1.901711900856598E+01,  2.195336715483816E+01,  2.406351068285080E-01,",,,
"2433801.500000000, A.D. 1951-Jun-04 00",00,"00.0000, -2.836717420248040E+09,  4.279330148689441E+09, -1.475700466819403E+09, -2.707086325801811E+01,  8.875447871600905E+00,  2.419963637645792E-01,",,,
"2433831.500000000, A.D. 1951-Jul-04 00",00,"00.0000, -2.909252729406700E+09,  4.283280022867001E+09, -1.475071319918857E+09, -2.768542616404154E+01, -5.865628850255030E+00,  2.432160738823135E-01,",,,
"2433862.500000000, A.D. 1951-Aug-04 00",00,"00.0000, -2.975791725566466E+09,  4.248577039338486E+09, -1.474416083904835E+09, -2.083619879039342E+01, -1.947589294414855E+01,  2.448137831592776E-01,",,,
"2433893.500000000, A.D. 1951-Sep-04 00",00,"00.0000, -3.015484726282651E+09,  4.183591134114273E+09, -1.473754260320557E+09, -8.041047488081791E+00, -2.797203467151597E+01,  2.477554001408233E-01,",,,
"2433923.500000000, A.D. 1951-Oct-04 00",00,"00.0000, -3.017016497580302E+09,  4.108073807033593E+09, -1.473105260019163E+09,  7.001791412639725E+00, -2.903240248188477E+01,  2.518881223632103E-01,",,,
"2433954.500000000, A.D. 1951-Nov-04 00",00,"00.0000, -2.978458586114164E+09,  4.037879796736222E+09, -1.472423563522802E+09,  2.122568692954476E+01, -2.208808918783788E+01,  2.574288323690634E-01,",,,
"2433984.500000000, A.D. 1951-Dec-04 00",00,"00.0000, -2.910896034505680E+09,  3.996411611852849E+09, -1.471751272323390E+09,  2.979587269970676E+01, -9.113517526595393E+00,  2.628977645897268E-01,",,,
"2434015.500000000, A.D. 1952-Jan-04 00",00,"00.0000, -2.828149505346197E+09,  3.993529344591227E+09, -1.471042427144514E+09,  3.050690741891181E+01,  7.059068404408768E+00,  2.681295262997994E-01,",,,
"2434046.500000000, A.D. 1952-Feb-04 00",00,"00.0000, -2.755208099172857E+09,  4.032343381559257E+09, -1.470319583059493E+09,  2.265040053081650E+01,  2.120446924948193E+01,  2.724376811864602E-01,",,,
"2434075.500000000, A.D. 1952-Mar-04 00",00,"00.0000, -2.713860647831874E+09,  4.096439762298396E+09, -1.469631939957124E+09,  9.705946968263801E+00,  2.884510230036244E+01,  2.761661347855888E-01,",,,
"2434106.500000000, A.D. 1952-Apr-04 00",00,"00.0000, -2.709057894184756E+09,  4.175792719706710E+09, -1.468886762381880E+09, -6.106527557701025E+00,  2.898110430183070E+01,  2.790549176142942E-01,",,,
"2434136.500000000, A.D. 1952-May-04 00",00,"00.0000, -2.742721898441239E+09,  4.242729347828485E+09, -1.468157710038329E+09, -1.921116659964184E+01,  2.154940449265408E+01,  2.815908720026279E-01,",,,
"2434167.500000000, A.D. 1952-Jun-04 00",00,"00.0000, -2.806275784851335E+09,  4.283724563695576E+09, -1.467398001130773E+09, -2.708192737837268E+01,  8.381814587896244E+00,  2.842384366235025E-01,",,,
"2434197.500000000, A.D. 1952-Jul-04 00",00,"00.0000, -2.878639400754618E+09,  4.286409357886837E+09, -1.466657305906358E+09, -2.750717713468148E+01, -6.352744011129814E+00,  2.868837001950499E-01,",,,
"2434228.500000000, A.D. 1952-Aug-04 00",00,"00.0000, -2.944519844157361E+09,  4.250510036308254E+09, -1.465886086806726E+09, -2.049284598603571E+01, -1.986002718295183E+01,  2.900650613916085E-01,",,,
"2434259.500000000, A.D. 1952-Sep-04 00",00,"00.0000, -2.983179255321864E+09,  4.184661479383812E+09, -1.465107847511033E+09, -7.606946488033200E+00, -2.818854067409272E+01,  2.930979871484265E-01,",,,
"2434289.500000000, A.D. 1952-Oct-04 00",00,"00.0000, -2.983547639765792E+09,  4.108766494671256E+09, -1.464346501255813E+09,  7.439109855038358E+00, -2.906341379902282E+01,  2.961798391771353E-01,",,,
"2434320.500000000, A.D. 1952-Nov-04 00",00,"00.0000, -2.943878624770462E+09,  4.038693326126193E+09, -1.463549063236088E+09,  2.156815710319338E+01, -2.195234803133383E+01,  2.997368758525409E-01,",,,
"2434350.500000000, A.D. 1952-Dec-04 00",00,"00.0000, -2.875573635480977E+09,  3.997735290054439E+09, -1.462765089975514E+09,  2.997444421446775E+01, -8.877644038997321E+00,  3.041883649856167E-01,",,,
"2434381.500000000, A.D. 1953-Jan-04 00",00,"00.0000, -2.792581714048831E+09,  3.995549365363554E+09, -1.461941133032739E+09,  3.048763540559806E+01,  7.293781490909615E+00,  3.093908925064266E-01,",,,
"2434412.500000000, A.D. 1953-Feb-04 00",00,"00.0000, -2.719938932872005E+09,  4.034923888713784E+09, -1.461102984195499E+09,  2.246338243311166E+01,  2.133552829413718E+01,  3.149594767778048E-01,",,,
"2434440.500000000, A.D. 1953-Mar-04 00",00,"00.0000, -2.680062342975608E+09,  4.096702229230994E+09, -1.460334729800874E+09,  9.929256021305688E+00,  2.866698655469922E+01,  3.190957919196649E-01,",,,
"2434471.500000000, A.D. 1953-Apr-04 00",00,"00.0000, -2.674689365523109E+09,  4.175708440849688E+09, -1.459474016481663E+09, -5.878323034677628E+00,  2.888926136638908E+01,  3.235206416733192E-01,",,,
"2434501.500000000, A.D. 1953-May-04 00",00,"00.0000, -2.707850618544700E+09,  4.242482721217403E+09, -1.458632995812845E+09, -1.902171313321871E+01,  2.152688557660457E+01,  3.266627037211087E-01,",,,
"2434532.500000000, A.D. 1953-Jun-04 00",00,"00.0000, -2.771014298550192E+09,  4.283437893983309E+09, -1.457757321109062E+09, -2.696742696125168E+01,  8.401256722800392E+00,  3.288961142435403E-01,",,,
"2434562.500000000, A.D. 1953-Jul-04 00",00,"00.0000, -2.843166677351867E+09,  4.286125986996126E+09, -1.456904604065031E+09, -2.747040170601684E+01, -6.336712249546022E+00,  3.303657785609548E-01,",,,
"2434593.500000000, A.D. 1953-Aug-04 00",00,"00.0000, -2.908998622028922E+09,  4.250187084230620E+09, -1.456017902949162E+09, -2.052332620633196E+01, -1.989233659077268E+01,  3.317175675647990E-01,",,,
"2434624.500000000, A.D. 1953-Sep-04 00",00,"00.0000, -2.947736820207611E+09,  4.184176139781721E+09, -1.455124466026066E+09, -7.665270443691615E+00, -2.829399739899772E+01,  3.341406176659394E-01,",,,
"2434654.500000000, A.D. 1953-Oct-04 00",00,"00.0000, -2.948231049876227E+09,  4.107963967081039E+09, -1.454251365950973E+09,  7.388602090890108E+00, -2.923906064494589E+01,  3.378658074254002E-01,",,,
"2434685.500000000, A.D. 1953-Nov-04 00",00,"00.0000, -2.908655789144715E+09,  4.037386170278697E+09, -1.453338189835275E+09,  2.156391615401990E+01, -2.218564478019523E+01,  3.430775286980081E-01,",,,
"2434715.500000000, A.D. 1953-Dec-04 00",00,"00.0000, -2.840323685128238E+09,  3.995806680691139E+09, -1.452441816524626E+09,  3.003462284254133E+01, -9.140156732099527E+00,  3.487275534000451E-01,",,,
"2434746.500000000, A.D. 1954-Jan-04 00",00,"00.0000, -2.757121167497630E+09,  3.992920902244896E+09, -1.451501369309467E+09,  3.061990573236927E+01,  7.043975925438502E+00,  3.547755664327545E-01,",,,
"2434777.500000000, A.D. 1954-Feb-04 00",00,"00.0000, -2.684080534157293E+09,  4.031644209928907E+09, -1.450546748799487E+09,  2.264631793657034E+01,  2.113313801945167E+01,  3.598272314948803E-01,",,,
"2434805.500000000, A.D. 1954-Mar-04 00",00,"00.0000, -2.643729469990008E+09,  4.092947103138817E+09, -1.449673837558619E+09,  1.014146777785247E+01,  2.852212995342161E+01,  3.636711684713436E-01,",,,
"2434836.500000000, A.D. 1954-Apr-04 00",00,"00.0000, -2.637788331621280E+09,  4.171606615576359E+09, -1.448697171894160E+09, -5.684778445355136E+00,  2.880951496895362E+01,  3.662875960629020E-01,",,,
"2434866.500000000, A.D. 1954-May-04 00",00,"00.0000, -2.670448132265091E+09,  4.238210179215523E+09, -1.447744201032791E+09, -1.886887211120752E+01,  2.149100809809086E+01,  3.682283528577761E-01,",,,
"2434897.500000000, A.D. 1954-Jun-04 00",00,"00.0000, -2.733220091450021E+09,  4.279107394881845E+09, -1.446753115123009E+09, -2.686614648681902E+01,  8.378966444905965E+00,  3.701018918284698E-01,",,,
"2434927.500000000, A.D. 1954-Jul-04 00",00,"00.0000, -2.805148823100682E+09,  4.281781614472235E+09, -1.445788398504112E+09, -2.741940313443619E+01, -6.364456538838024E+00,  3.724143333701764E-01,",,,
"2434958.500000000, A.D. 1954-Aug-04 00",00,"00.0000, -2.870910902075441E+09,  4.245788372815701E+09, -1.444785579314368E+09, -2.051258296562056E+01, -1.994473739215775E+01,  3.755862377431862E-01,",,,
"2434989.500000000, A.D. 1954-Sep-04 00",00,"00.0000, -2.909705176537392E+09,  4.179611810612521E+09, -1.443775404078031E+09, -7.683846927209226E+00, -2.838584001094434E+01,  3.793559185248938E-01,",,,
"2435019.500000000, A.D. 1954-Oct-04 00",00,"00.0000, -2.910311929234894E+09,  4.103084549933771E+09, -1.442789169001341E+09,  7.361477072682010E+00, -2.938450942549357E+01,  3.833140404970621E-01,",,,
"2435050.500000000, A.D. 1954-Nov-04 00",00,"00.0000, -2.870823292900542E+09,  4.032007559132004E+09, -1.441758933351464E+09,  2.155359056671819E+01, -2.238427378310348E+01,  3.877304994636619E-01,",,,
"2435080.500000000, A.D. 1954-Dec-04 00",00,"00.0000, -2.802462104078265E+09,  3.989806680656022E+09, -1.440749561305049E+09,  3.007024944855339E+01, -9.378282812757069E+00,  3.921674287296257E-01,",,,
"2435111.500000000, A.D. 1955-Jan-04 00",00,"00.0000, -2.719050132018946E+09,  3.986218694667904E+09, -1.439692817346965E+09,  3.071620178623559E+01,  6.790814812450761E+00,  3.965084023494314E-01,",,,
"2435142.500000000, A.D. 1955-Feb-04 00",00,"00.0000, -2.645610609693955E+09,  4.024282489984920E+09, -1.438622322165721E+09,  2.280711524614109E+01,  2.089766271166391E+01,  4.011117243182989E-01,",,,
